run_id,pair_value,pair_analysis_type,pair_variant,times_drawn,expected_times,last_seen,draws_since,late_threshold,very_late_threshold,is_repeating,is_late,is_very_late,frequency_ratio,lateness_ratio,very_lateness_ratio,source_url,notes,state,game_family,game,sessions_scope,subtype,date_range_label,drawings_in_range,under_frequency_ratio,baseline_priority_score
RUN003,14,Front Pair Straight,Front Pair Straight,243,251,2026-04-16,71,200,300,False,False,False,0.9681274900398407,0.355,0.2366666666666667,https://www.lotterypost.com/systems/pairs,Expected times drawn for each pair is 251; late >= 200 draws; very late >= 300 draws.,GA,Pick 3,Georgia Cash 3,Midday|Evening|Night,Front Pair Straight,All Available History,25098,0.031872509960159334,0.3868725099601593
RUN003,15,Front Pair Straight,Front Pair Straight,254,251,2026-04-19,60,200,300,False,False,False,1.01195219123506,0.3,0.2,https://www.lotterypost.com/systems/pairs,Expected times drawn for each pair is 251; late >= 200 draws; very late >= 300 draws.,GA,Pick 3,Georgia Cash 3,Midday|Evening|Night,Front Pair Straight,All Available History,25098,0.0,0.3
RUN003,16,Front Pair Straight,Front Pair Straight,236,251,2026-04-20,58,200,300,False,False,False,0.9402390438247012,0.29,0.1933333333333333,https://www.lotterypost.com/systems/pairs,Expected times drawn for each pair is 251; late >= 200 draws; very late >= 300 draws.,GA,Pick 3,Georgia Cash 3,Midday|Evening|Night,Front Pair Straight,All Available History,25098,0.05976095617529875,0.34976095617529873
RUN003,17,Front Pair Straight,Front Pair Straight,247,251,2026-04-18,65,200,300,False,False,False,0.9840637450199203,0.325,0.2166666666666667,https://www.lotterypost.com/systems/pairs,Expected times drawn for each pair is 251; late >= 200 draws; very late >= 300 draws.,GA,Pick 3,Georgia Cash 3,Midday|Evening|Night,Front Pair Straight,All Available History,25098,0.015936254980079667,0.3409362549800797
RUN003,18,Front Pair Straight,Front Pair Straight,258,251,2026-04-26,41,200,300,False,False,False,1.027888446215139,0.205,0.1366666666666667,https://www.lotterypost.com/systems/pairs,Expected times drawn for each pair is 251; late >= 200 draws; very late >= 300 draws.,GA,Pick 3,Georgia Cash 3,Midday|Evening|Night,Front Pair Straight,All Available History,25098,0.0,0.205
RUN003,19,Front Pair Straight,Front Pair Straight,257,251,2026-04-03,108,200,300,False,False,False,1.02390438247012,0.54,0.36,https://www.lotterypost.com/systems/pairs,Expected times drawn for each pair is 251; late >= 200 draws; very late >= 300 draws.,GA,Pick 3,Georgia Cash 3,Midday|Evening|Night,Front Pair Straight,All Available History,25098,0.0,0.54
RUN003,20,Front Pair Straight,Front Pair Straight,238,251,2026-04-12,82,200,300,False,False,False,0.9482071713147411,0.41,0.2733333333333333,https://www.lotterypost.com/systems/pairs,Expected times drawn for each pair is 251; late >= 200 draws; very late >= 300 draws.,GA,Pick 3,Georgia Cash 3,Midday|Evening|Night,Front Pair Straight,All Available History,25098,0.05179282868525892,0.4617928286852589
RUN003,21,Front Pair Straight,Front Pair Straight,268,251,2026-04-11,86,200,300,False,False,False,1.067729083665339,0.43,0.2866666666666667,https://www.lotterypost.com/systems/pairs,Expected times drawn for each pair is 251; late >= 200 draws; very late >= 300 draws.,GA,Pick 3,Georgia Cash 3,Midday|Evening|Night,Front Pair Straight,All Available History,25098,0.0,0.43
RUN003,22,Front Pair Straight,Front Pair Straight,252,251,2026-01-20,329,200,300,True,True,True,1.00398406374502,1.645,1.096666666666667,https://www.lotterypost.com/systems/pairs,Expected times drawn for each pair is 251; late >= 200 draws; very late >= 300 draws.,GA,Pick 3,Georgia Cash 3,Midday|Evening|Night,Front Pair Straight,All Available History,25098,0.0,2.395
RUN003,23,Front Pair Straight,Front Pair Straight,239,251,2026-03-11,178,200,300,False,False,False,0.952191235059761,0.89,0.5933333333333334,https://www.lotterypost.com/systems/pairs,Expected times drawn for each pair is 251; late >= 200 draws; very late >= 300 draws.,GA,Pick 3,Georgia Cash 3,Midday|Evening|Night,Front Pair Straight,All Available History,25098,0.047808764940239,0.937808764940239
