item_type,run_id,session,subtype,value,times_drawn,expected_times,draws_since,last_seen,baseline_priority_score,why_flagged,source_url
pair,RUN026,Evening,Back Pair Straight,55,106,119.7,394,2025-04-10,2.834453,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN027,Evening,Back Pair Box,55,106,119.7,394,2025-04-10,2.834453,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN009,Midday|Evening|Night,Split Pair Straight,08,252,251,415,2025-12-22,2.825,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN039,Night,Split Pair Straight,55,28,33.7,371,2025-05-03,2.774139,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN040,Night,Split Pair Box,55,28,33.7,371,2025-05-03,2.774139,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN014,Midday,Front Pair Box,23,187,195.2,198,2025-10-23,2.772008,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN008,Midday|Evening|Night,Back Pair from Box Combination,18,240,,201,2026-03-03,2.76,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN039,Night,Split Pair Straight,64,28,33.7,366,2025-05-08,2.749139,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN034,Night,Front Pair Box,12,67,67.5,197,2025-10-24,2.727407,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN019,Midday,Split Pair Straight,66,85,97.6,365,2025-05-09,2.704098,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN020,Midday,Split Pair Box,66,85,97.6,365,2025-05-09,2.704098,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN012,Midday,Any Position Box,46,538,526.9,72,2026-02-26,2.695946,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN022,Evening,Any Position Box,25,612,646.2,70,2026-02-28,2.694817,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN023,Evening,Front Pair Straight,27,100,119.7,356,2025-05-18,2.694578,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN007,Midday|Evening|Night,Back Pair Box,35,504,502,192,2026-03-06,2.67,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN010,Midday|Evening|Night,Split Pair Box,49,502,502,191,2026-03-07,2.66,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN011,Midday|Evening|Night,Split Pair from Box Combination,56,146,,189,2026-03-07,2.64,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN033,Night,Front Pair Straight,04,35,33.7,372,2025-05-02,2.61,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN008,Midday|Evening|Night,Back Pair from Box Combination,19,248,,186,2026-03-08,2.61,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
